NAME                     MESHED   SUCCESS      RPS   LATENCY_P50   LATENCY_P95   LATENCY_P99   TCP_CONN
consul                      1/1   100.00%   1.7rps           1ms           5ms           5ms         10
frontend                    1/1   100.00%   1.1rps           1ms           4ms           4ms          1
geo                         1/1   100.00%   0.3rps           1ms           1ms           1ms          3
memcached-profile           1/1   100.00%   0.3rps           1ms           4ms           4ms         17
memcached-rate              1/1   100.00%   0.3rps           1ms           4ms           4ms         17
memcached-reserve           1/1   100.00%   0.3rps           1ms           4ms           4ms         13
mongodb-geo                 1/1   100.00%   0.3rps           1ms           4ms           4ms          7
mongodb-profile             1/1   100.00%   0.3rps           1ms           4ms           4ms         19
mongodb-rate                1/1   100.00%   0.3rps           1ms           4ms           4ms         33
mongodb-recommendation      1/1   100.00%   0.3rps           1ms           4ms           4ms          7
mongodb-reservation         1/1   100.00%   0.3rps           1ms           1ms           1ms          7
mongodb-user                1/1   100.00%   0.3rps           1ms           4ms           4ms          7
profile                     1/1   100.00%   0.3rps           1ms           5ms           5ms          3
rate                        1/1   100.00%   0.3rps           1ms           2ms           2ms          3
recommendation              1/1   100.00%   0.3rps           1ms           2ms           2ms          3
reservation                 1/1   100.00%   0.4rps           1ms           5ms           5ms          3
search                      1/1   100.00%   0.3rps           1ms           9ms          10ms          3
user                        1/1   100.00%   1.2rps           1ms           5ms           5ms          3
