NAME                     MESHED   SUCCESS      RPS   LATENCY_P50   LATENCY_P95   LATENCY_P99   TCP_CONN
consul                      1/1   100.00%   1.7rps           2ms       50000ms       50000ms         11
frontend                    1/1   100.00%   3.1rps          91ms        3460ms       15300ms         17
geo                         1/1   100.00%   1.7rps           1ms           1ms           3ms          3
memcached-profile           1/1   100.00%   0.3rps           1ms           2ms           2ms         17
memcached-rate              1/1   100.00%   0.3rps           1ms           4ms           4ms         11
memcached-reserve           1/1   100.00%   0.3rps           1ms           4ms           4ms          7
mongodb-geo                 1/1   100.00%   0.3rps           1ms           1ms           1ms          7
mongodb-profile             1/1   100.00%   0.3rps           1ms           4ms           4ms         19
mongodb-rate                1/1   100.00%   0.3rps           1ms           4ms           4ms         33
mongodb-recommendation      1/1   100.00%   0.3rps           1ms           5ms           5ms          7
mongodb-reservation         1/1   100.00%   0.3rps           1ms           1ms           1ms          7
mongodb-user                1/1   100.00%   0.3rps           1ms           4ms           4ms          7
profile                     1/1   100.00%   3.2rps           3ms          13ms          18ms          3
rate                        1/1   100.00%   1.9rps         150ms        9625ms       17550ms          3
recommendation              1/1   100.00%   1.2rps           1ms           2ms           5ms          3
reservation                 1/1   100.00%   2.3rps         825ms        3337ms        3868ms          3
search                      1/1   100.00%   2.4rps         138ms         484ms         860ms          3
user                        1/1   100.00%   0.3rps           1ms           4ms           4ms          2
