NAME                     MESHED   SUCCESS      RPS   LATENCY_P50   LATENCY_P95   LATENCY_P99   TCP_CONN
consul                      1/1   100.00%   1.7rps           1ms           8ms          10ms         11
frontend                    1/1   100.00%   0.3rps           1ms           3ms           3ms          1
geo                         1/1   100.00%   0.3rps           1ms           1ms           1ms          2
memcached-profile           1/1   100.00%   0.3rps           1ms           4ms           4ms         17
memcached-rate              1/1   100.00%   0.3rps           1ms           4ms           4ms         11
memcached-reserve           1/1   100.00%   0.3rps           1ms           4ms           4ms          3
mongodb-geo                 1/1   100.00%   0.3rps           1ms           4ms           4ms          7
mongodb-profile             1/1   100.00%   0.3rps           1ms           4ms           4ms         19
mongodb-rate                1/1   100.00%   0.3rps           1ms           4ms           4ms         17
mongodb-recommendation      1/1   100.00%   0.3rps           1ms           4ms           4ms          7
mongodb-reservation         1/1   100.00%   0.3rps           1ms           1ms           1ms          7
mongodb-user                1/1   100.00%   0.3rps           1ms           4ms           4ms          7
profile                     1/1   100.00%   0.3rps           1ms           4ms           4ms          2
rate                        1/1   100.00%   0.3rps           1ms           2ms           2ms          2
recommendation              1/1   100.00%   0.3rps           1ms           2ms           2ms          2
reservation                 1/1   100.00%   0.3rps           1ms           5ms           5ms          2
search                      1/1   100.00%   0.3rps           1ms           9ms          10ms          2
user                        1/1   100.00%   0.3rps           1ms           4ms           4ms          2
