NAME                     TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                               AGE   SELECTOR
consul                   ClusterIP   10.101.4.0       <none>        8300/TCP,8400/TCP,8500/TCP,8600/UDP   60m   io.kompose.service=consul
frontend                 ClusterIP   10.107.12.112    <none>        5000/TCP                              60m   io.kompose.service=frontend
geo                      ClusterIP   10.108.81.47     <none>        8083/TCP                              60m   io.kompose.service=geo
memcached-profile        ClusterIP   10.107.111.51    <none>        11211/TCP                             60m   io.kompose.service=memcached-profile
memcached-rate           ClusterIP   10.96.58.205     <none>        11211/TCP                             60m   io.kompose.service=memcached-rate
memcached-reserve        ClusterIP   10.105.5.39      <none>        11211/TCP                             60m   io.kompose.service=memcached-reserve
mongodb-geo              ClusterIP   10.103.117.253   <none>        27017/TCP                             60m   io.kompose.service=mongodb-geo
mongodb-profile          ClusterIP   10.108.229.153   <none>        27017/TCP                             60m   io.kompose.service=mongodb-profile
mongodb-rate             ClusterIP   10.104.163.83    <none>        27017/TCP                             60m   io.kompose.service=mongodb-rate
mongodb-recommendation   ClusterIP   10.96.154.145    <none>        27017/TCP                             60m   io.kompose.service=mongodb-recommendation
mongodb-reservation      ClusterIP   10.110.175.97    <none>        27017/TCP                             60m   io.kompose.service=mongodb-reservation
mongodb-user             ClusterIP   10.111.123.95    <none>        27017/TCP                             60m   io.kompose.service=mongodb-user
profile                  ClusterIP   10.111.137.75    <none>        8081/TCP                              60m   io.kompose.service=profile
rate                     ClusterIP   10.104.79.219    <none>        8084/TCP                              60m   io.kompose.service=rate
recommendation           ClusterIP   10.110.167.156   <none>        8085/TCP                              60m   io.kompose.service=recommendation
reservation              ClusterIP   10.99.81.116     <none>        8087/TCP                              60m   io.kompose.service=reservation
search                   ClusterIP   10.96.196.112    <none>        8082/TCP                              60m   io.kompose.service=search
user                     ClusterIP   10.97.136.54     <none>        8086/TCP                              60m   io.kompose.service=user
